id,product,product_asin,review_title,rating,date,location,flavor,size,type
fa6a550677de15262999e3190b70d270,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,These are excellent!,5.0,2023-10-16,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
cc988c1357762618bc4d8c04c5461472,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Clean ingredients,5.0,2023-10-04,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
16140657d1acc0cbd4b6048d7ed2df70,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,See Ya Tums,5.0,2023-09-30,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
7801d96daee15b37834c3578e7e8f865,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Tasty,5.0,2023-09-27,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
6b4de2845cf0c867c36cb5ae05e9f081,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Instant relief,5.0,2023-09-24,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
20bebcc1b386333c0a614f8f3ab9af16,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Great product,5.0,2023-09-12,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
f33efb9a128f6d74d933aa4d2f3aa41a,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Nice,5.0,2023-09-09,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
f6bf4f2832ddc680dafe5cc669c2b9f0,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Good stuff!,5.0,2023-09-03,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
bb0b90720807234415a0f3ade9f8767d,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Very Good,5.0,2023-09-02,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
c8d4cc833a739509ee5383f57df92dbb,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Better than any big brands,5.0,2023-08-26,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
